y	st	lat	lon	col	prod	pob	area					
1988	MI	44.34451944	-84.69451944	83	6059	9253290	25049.4					
1988	MN	46.37010556	-94.67010556	150	19350	4338045	22517.1					
1988	MS	32.77700556	-89.66033889	21	1386	2574273	12543.4					
1988	MO	38.43345278	-92.51678611	30	2400	5095819	18053.3					
1988	MT	47.19634167	-109.0463333	105	5040	799642	38083.8					
1988	NE	41.36925833	-99.635925	113	10848	1574881	20034.5					
1988	NJ	40.21587222	-74.49920556	30	930	7726086	2258.8					
1988	NY	43.17661667	-75.50995	94	5546	17983088	14129.9					
1988	NC	35.64380278	-79.37713611	21	966	6565467	13938.9					
1988	ND	47.43108889	-100.0527222	230	15180	646341	18311.2					
1988	OH	40.29351111	-82.82684444	50	2400	10829211	11609.6					
1988	OR	43.87287222	-120.0895278	60	3120	2790568	25480.5					
1988	PA	40.82463056	-77.64129722	45	2070	11866008	119.283					
1988	SD	44.47313333	-100.0231111	245	18130	696691	19973.1					
1988	TN	35.85901389	-86.47430556	35	1400	4854461	10915.1					
1988	TX	31.58439444	-99.21844444	114	8664	16806734	69562.1					
1988	UT	39.44435556	-111.061	36	1476	1705867	21988.7					
1988	VT	44.15561667	-72.06024167	7	357	557699	2490.1					
1988	VA	37.55003056	-78.783875	24	1344	6120232	11078.5					
1988	WA	47.41219444	-120.0288611	65	3055	4746321	18466.5					
1988	WV	38.72501944	-80.54168611	30	1050	1806552	6275.5					
1988	WI	44.59897778	-89.68231111	82	8118	4856575	16963.9					
1988	WY	43.07391389	-107.56	39	2847	458377	25333.6					
1989	AL	32.46189917	-86.79523056	41	820	4040587	13576.5					
1989	AZ	34.20952778	-111.0595278	71	3195	3665228	28635.1					
1989	ARK	34.41672972	-92.45006306	34	2074	2350725	13773.2					
1989	CAL	37.75058917	-120.0505889	535	18190	29760021	42397					
1989	COLO	38.96655833	-105.0998889	50	3300	3294394	26960.1					
1989	FLA	28.83524083	-81.91857417	235	13865	12937926	17030.4					
1989	GA	32.67768111	-83.52768056	116	3132	6478216	14999.8					
1989	HAW	19.51250278	-155.0625	9	1215	1108229	2831.1					
1989	ID	39.93660444	-86.21993611	105	5670	1006749	216.446					
1989	ILL	40.07544444	-89.30877778	29	1102	11430602	14999.8					
1989	IND	39.86693611	-86.14471389	28	980	5544159	94.321					
1989	IOWA	41.93358056	-93.48358056	61	5490	2776755	14574.3					
1989	KS	38.43878889	-98.40545556	35	1610	2477574	21309.6					
1989	KY	37.43447222	-85.09002778	12	348	3685296	10465.9					
1989	LA	31.39494444	-92.51678611	35	2975	4219973	13426.4					
1989	ME	45.45910278	-69.22576944	17	408	1219961	91.646					
1989	MI	44.34451944	-84.69451944	93	6510	9295297	25049.4					
1989	MN	46.37010556	-94.67010556	155	14260	4375099	22517.1					
1989	MS	32.77700556	-89.66033889	24	792	2573216	12543.4					
1989	MO	38.43345278	-92.51678611	33	2046	5117073	18053.3					
1989	MT	47.19634167	-109.0463333	100	6300	799065	38083.8					
1989	NE	41.36925833	-99.635925	15	810	1578385	20034.5					
1989	NJ	40.21587222	-74.49920556	25	575	7730188	2258.8					
1989	NY	43.17661667	-75.50995	94	5546	17990455	14129.9					
1989	NC	35.64380278	-79.37713611	25	950	6628637	13938.9					
1989	ND	47.43108889	-100.0527222	290	16240	638800	18311.2					
1989	OH	40.29351111	-82.82684444	53	1060	10847115	11609.6					
1989	OR	43.87287222	-120.0895278	63	2457	2842321	25480.5					
1989	PA	40.82463056	-77.64129722	41	1599	11881643	119.283					
